Date,Open,High,Low,Close,Adj Close,Volume
06-10-2017,453.299988,460.299988,451.524994,459.725006,435.506439,406128
09-10-2017,461,464.299988,457.149994,461.825012,437.495819,240892
10-10-2017,470,472.924988,464.549988,467.799988,443.156006,521040
11-10-2017,468,468.850006,464.075012,465.299988,440.78772,343744
12-10-2017,465,467.325012,460,463.575012,439.153625,671688
13-10-2017,465.024994,467,463.799988,465.950012,441.403503,2456158
16-10-2017,467.5,471,466.75,469.649994,444.908569,440212
17-10-2017,467.5,468.700012,465.125,465.725006,441.190369,384966
18-10-2017,464.5,465,461.625,462.225006,437.874725,371582
19-10-2017,465,466.674988,462.924988,463.549988,439.129913,201534
23-10-2017,464.100006,471.399994,464.100006,469.825012,445.074371,526916
24-10-2017,472.5,473.75,462,463.375,438.964142,891450
25-10-2017,460,472.075012,457.625,467.700012,443.06134,832100
26-10-2017,470.075012,475.174988,470.075012,473.75,448.792603,1054584
27-10-2017,477.5,478.524994,472.5,473.725006,448.768921,798798
30-10-2017,477,477.5,470.5,472.325012,447.442657,1028592
31-10-2017,461.700012,465.174988,460,460.825012,448.90387,424808
01-11-2017,462,464.475006,461,463.125,451.144348,235336
02-11-2017,462,463.274994,459.899994,461.450012,449.512695,216208
03-11-2017,461.350006,464.700012,459,463.325012,451.339203,149680
06-11-2017,462.5,467.424988,461.174988,464.299988,452.288971,244478
07-11-2017,464.25,479.899994,463.5,477.850006,465.488434,831458
08-11-2017,479.125,480.75,473.649994,475.975006,463.661926,317116
09-11-2017,479.25,481,474.575012,477.299988,464.952637,289006
10-11-2017,477.299988,481.375,475.100006,480.299988,467.875031,194860
13-11-2017,480.299988,484.450012,474.549988,475.899994,463.588867,2551688
14-11-2017,475,477.200012,472,474.725006,462.444275,149232
15-11-2017,473.5,476.725006,472.5,475.975006,463.661926,168822
16-11-2017,475.575012,497.725006,474.424988,494.299988,481.512878,1291582
17-11-2017,494.899994,494.899994,481.5,485.475006,472.916168,594360
20-11-2017,484.850006,485,478.674988,480.674988,468.240326,291142
21-11-2017,480.674988,485.774994,479.825012,483.200012,470.700043,203988
22-11-2017,482.5,485.424988,481.25,483.149994,470.651306,163740
23-11-2017,485,497.174988,484.924988,495.700012,482.876678,623972
24-11-2017,494.549988,509.600006,494.549988,504.975006,491.911743,982538
27-11-2017,500,502.5,497,498.75,485.847778,344912
28-11-2017,498.450012,500.075012,490.75,492.25,479.51593,306144
29-11-2017,494.5,496,490.75,491.649994,478.931427,127168
30-11-2017,494.5,494.899994,483.674988,487.475006,474.864441,256982
01-12-2017,488.75,491.5,478.225006,479.25,466.852203,287040
04-12-2017,491.5,498.475006,484.825012,492.649994,479.905548,810002
05-12-2017,493,501.299988,489.649994,492.200012,479.467224,618270
06-12-2017,492.200012,497,485,495.200012,482.389618,284474
07-12-2017,493.75,501.075012,491.200012,500.049988,487.114136,438474
08-12-2017,500.049988,503.424988,498.024994,500.774994,487.820374,390584
11-12-2017,498.5,502.5,497.5,501.75,488.770172,188114
12-12-2017,501.5,507,500,505.549988,492.471832,322322
13-12-2017,506,509,499.5,501.725006,488.745789,282548
14-12-2017,502.625,508,500.024994,506.225006,493.129425,247814
15-12-2017,507.5,513,505.5,511.725006,498.487122,376676
18-12-2017,507.5,514.924988,502.799988,507.674988,494.54187,332942
19-12-2017,507.674988,508.75,500,502.399994,489.403351,3479274
20-12-2017,502.399994,507.5,500.975006,506.649994,493.543396,216288
21-12-2017,506.649994,514,499.024994,510.774994,497.561676,604772
22-12-2017,509.700012,522.099976,508.100006,519.200012,505.768738,625894
26-12-2017,514.900024,520,511.549988,517.174988,503.796112,2049828
27-12-2017,514.5,519.424988,512.549988,517.025024,503.650024,402482
28-12-2017,515.950012,519.950012,513.049988,517,503.625671,337838
29-12-2017,515,523.049988,515,519.650024,506.207123,367766
01-01-2018,520,521.825012,515.900024,517.275024,503.893585,218678
02-01-2018,518.599976,521.700012,511.475006,514.75,501.433868,361240
03-01-2018,517.5,517.5,509,509.549988,496.368378,317868
04-01-2018,511,511,504.799988,507.649994,494.517517,639568
05-01-2018,507.649994,513,503.125,506.049988,492.958923,562278
08-01-2018,507.5,519.400024,507.5,517.825012,504.429321,307888
09-01-2018,520,522.25,514.625,520.650024,507.181244,524162
10-01-2018,524.950012,527.775024,517.299988,525.799988,512.197998,1408606
11-01-2018,526.5,541.650024,526.5,537.799988,523.887573,2630738
12-01-2018,544.5,544.5,534.775024,539.200012,525.251343,569642
15-01-2018,539.25,546.025024,532.75,540.200012,526.225525,445496
16-01-2018,540,567.200012,540,561.450012,546.925781,1370618
17-01-2018,559,580,559,576.125,561.22113,1629628
18-01-2018,574.5,582.224976,566.174988,576.375,561.464661,661634
19-01-2018,574.450012,574.450012,568,571.625,556.837524,358516
22-01-2018,570.849976,577.5,565.049988,575.150024,560.271362,590314
23-01-2018,575.599976,593.5,575.599976,587.599976,572.399231,2065536
24-01-2018,588.900024,610,583.5,592.575012,577.245605,1062012
25-01-2018,592.200012,595.75,580.400024,585.400024,570.256226,1045706
29-01-2018,582.5,598.099976,582.5,590.75,575.467773,438606
30-01-2018,590.25,591.525024,580.900024,584.849976,569.720398,1380754
31-01-2018,580,583,571.525024,575.325012,560.441833,364852
01-02-2018,575,579,560,572.25,557.44635,1344164
02-02-2018,570,581.224976,565.025024,570.849976,556.082581,923090
05-02-2018,569,577.5,567.5,569.150024,554.426575,525996
